Symbol,Name,LastSale,MarketCap,MarketCap_Dollars,IPOyear,Sector,industry,Summary Quote
PRGS,Progress Software Corporation,40.47,1.8B,1800000000,1991,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/prgs
ABCB,Ameris Bancorp,37.72,1.79B,1790000000,1994,Finance,Major Banks,https://www.nasdaq.com/symbol/abcb
BANF,BancFirst Corporation,54.82,1.79B,1790000000,1993,Finance,Major Banks,https://www.nasdaq.com/symbol/banf
NWBI,"Northwest Bancshares, Inc.",16.85,1.79B,1790000000,2009,Finance,Major Banks,https://www.nasdaq.com/symbol/nwbi
BLDR,"Builders FirstSource, Inc.",15.37,1.78B,1780000000,2005,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/bldr
LPSN,"LivePerson, Inc.",27.41,1.78B,1780000000,2000,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/lpsn
NFE,New Fortress Energy LLC,10.6,1.78B,1780000000,2019,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/nfe
PCRX,"Pacira BioSciences, Inc.",43.12,1.78B,1780000000,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/pcrx
ALLK,Allakos Inc.,41.14,1.77B,1770000000,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/allk
BGCP,"BGC Partners, Inc.",5.13,1.75B,1750000000,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/bgcp
SCPL,SciPlay Corporation,13.79,1.75B,1750000000,2019,Technology,EDP Services,https://www.nasdaq.com/symbol/scpl
CVGW,"Calavo Growers, Inc.",98.7,1.74B,1740000000,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/cvgw
SFLY,"Shutterfly, Inc.",50.37,1.73B,1730000000,2006,Miscellaneous,Other Consumer Services,https://www.nasdaq.com/symbol/sfly
ZGNX,"Zogenix, Inc.",40.76,1.73B,1730000000,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/zgnx
BAND,Bandwidth Inc.,74.83,1.72B,1720000000,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/band
CLBK,"Columbia Financial, Inc.",14.83,1.72B,1720000000,2018,Finance,Savings Institutions,https://www.nasdaq.com/symbol/clbk
